sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
1,,Default,simple,Default Category/Women,base,Seed Product 1,,,,1,Taxable Goods,"Catalog, Search",120,,,,1,Seed Product,Seed Product,Seed Product,/5/1/51531006_80151531006-801_4.jpg,,/5/1/51531006_80151531006-801_4.jpg,,/5/1/51531006_80151531006-801_4.jpg,,/5/1/51531006_80151531006-801_4.jpg,,"5/21/18, 1:48 PM","5/21/18, 1:48 PM",,,Block after Info Column,,,,Use config,,,,,,,,,,200,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/5/1/51531006_80151531006-801_4.jpg,,,,,,,,,,,,
2,,Default,simple,Default Category/Women,base,Seed Product 2,,,,1,Taxable Goods,"Catalog, Search",200,,,,2,Seed Product,Seed Product,Seed Product,/1/0/10253126_22010253126-220_3.jpg,,/1/0/10253126_22010253126-220_3.jpg,,/1/0/10253126_22010253126-220_3.jpg,,/1/0/10253126_22010253126-220_3.jpg,,"5/21/18, 1:49 PM","5/21/18, 1:49 PM",,,Block after Info Column,,,,Use config,,,,,,,,,,500,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/0/10253126_22010253126-220_3.jpg,,,,,,,,,,,,
3,,Default,simple,Default Category/Women,base,Seed Product 3,,,,1,Taxable Goods,"Catalog, Search",150,,,,3,Seed Product,Seed Product,Seed Product,/1/0/10253142_10510253142-105_1.jpg,,/1/0/10253142_10510253142-105_1.jpg,,/1/0/10253142_10510253142-105_1.jpg,,/1/0/10253142_10510253142-105_1.jpg,,"5/21/18, 1:50 PM","5/21/18, 1:50 PM",,,Block after Info Column,,,,Use config,,,,,,,,,,500,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/0/10253142_10510253142-105_1.jpg,,,,,,,,,,,,
4,,Default,simple,Default Category/Women,base,Seed Product 4,,,,1,Taxable Goods,"Catalog, Search",350,,,,4,Seed Product,Seed Product,Seed Product,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,"5/21/18, 1:55 PM","5/22/18, 8:37 AM",,,Block after Info Column,,,,Use config,,,,,,,,,,600,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,/1/0/10252272_105n10252272-105.jpg,,,,,,,,,,,,
5,,Default,simple,Default Category/Women,base,Seed Product 5,,,,2,Taxable Goods,"Catalog, Search",351,,,,5,Seed Product,Seed Product,Seed Product,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,"6/21/18, 1:55 PM","6/22/18, 8:37 AM",,,Block after Info Column,,,,Use config,,,,,,,,,,601,1,2,1,1,2,2,2,10001,2,2,2,2,2,2,2,2,2,1,1,1,,,,,,,/1/0/10252272_105n10252272-105.jpg,,,,,,,,,,,,
6,,Default,simple,Default Category/Women,base,Seed Product 6,,,,3,Taxable Goods,"Catalog, Search",352,,,,6,Seed Product,Seed Product,Seed Product,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,"7/21/18, 1:55 PM","7/22/18, 8:37 AM",,,Block after Info Column,,,,Use config,,,,,,,,,,602,2,3,2,2,3,3,3,10002,3,3,3,3,3,3,3,3,3,2,2,2,,,,,,,/1/0/10252272_105n10252272-105.jpg,,,,,,,,,,,,
7,,Default,simple,Default Category/Women,base,Seed Product 7,,,,4,Taxable Goods,"Catalog, Search",353,,,,7,Seed Product,Seed Product,Seed Product,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,"8/21/18, 1:55 PM","8/22/18, 8:37 AM",,,Block after Info Column,,,,Use config,,,,,,,,,,603,3,4,3,3,4,4,4,10003,4,4,4,4,4,4,4,4,4,3,3,3,,,,,,,/1/0/10252272_105n10252272-105.jpg,,,,,,,,,,,,
8,,Default,simple,Default Category/Women,base,Seed Product 8,,,,5,Taxable Goods,"Catalog, Search",354,,,,8,Seed Product,Seed Product,Seed Product,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,"9/21/18, 1:55 PM","9/22/18, 8:37 AM",,,Block after Info Column,,,,Use config,,,,,,,,,,604,4,5,4,4,5,5,5,10004,5,5,5,5,5,5,5,5,5,4,4,4,,,,,,,/1/0/10252272_105n10252272-105.jpg,,,,,,,,,,,,
9,,Default,simple,Default Category/Women,base,Seed Product 9,,,,6,Taxable Goods,"Catalog, Search",355,,,,9,Seed Product,Seed Product,Seed Product,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,"10/21/18, 1:55 PM","10/22/18, 8:37 AM",,,Block after Info Column,,,,Use config,,,,,,,,,,605,5,6,5,5,6,6,6,10005,6,6,6,6,6,6,6,6,6,5,5,5,,,,,,,/1/0/10252272_105n10252272-105.jpg,,,,,,,,,,,,
10,,Default,simple,Default Category/Women,base,Seed Product 10,,,,7,Taxable Goods,"Catalog, Search",356,,,,10,Seed Product,Seed Product,Seed Product,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,/1/0/10252272_105n10252272-105.jpg,,"11/21/18, 1:55 PM","11/22/18, 8:37 AM",,,Block after Info Column,,,,Use config,,,,,,,,,,606,6,7,6,6,7,7,7,10006,7,7,7,7,7,7,7,7,7,6,6,6,,,,,,,/1/0/10252272_105n10252272-105.jpg,,,,,,,,,,,,
